   T,   T,28323870190,100000
   T,**01, 5244590647, 17351
   T,**03, 7626354722, 28518
   T,**07, 4638829043, 18029
   T,0101, 3124585382,  9260
   T,0102, 2120005265,  8091
   T,**02, 1906294405,  8645
   T,0301, 2042898064,  8593
   T,0302, 2493691175,  8481
   T,0303, 3089765483, 11444
   T,**04, 2656965799, 10801
   T,**05, 3134339686,  9360
   T,**06, 3116495888,  7296
   T,0701, 2242561230,  7131
   T,0702, 2396267813, 10898
***A,   T,  715362644,  2962
***A,**01,   23076717,   152
***A,**03,  169272133,   724
***A,**07,  178946303,   606
***A,0101,   17266970,   115
***A,0102,    5809747,    37
***A,**02,  331419583,  1417
***A,0301,  110973835,   421
***A,0302,     310070,     4
***A,0303,   57988228,   299
***A,**04,   11467542,    37
***A,**05,     450731,    11
***A,**06,     729635,    15
***A,0701,   49341279,   260
***A,0702,  129605024,   346
***B,   T, 1552510177,  6237
***B,**01,  396644768,   838
***B,**03,  429419874,  1694
***B,**07,  350478963,  1716
***B,0101,  136439117,   452
***B,0102,  260205651,   386
***B,**02,   14721054,   111
***B,0301,  136930789,   715
***B,0302,   98697190,   297
***B,0303,  193791895,   682
***B,**04,   74249546,   471
***B,**05,  181707408,   861
***B,**06,  105288564,   546
***B,0701,  143576742,   410
***B,0702,  206902221,  1306
***C,   T, 7399574706, 26480
***C,**01, 1593867516,  4949
***C,**03, 1814267820,  6927
***C,**07, 1134015023,  4440
***C,0101, 1085744806,  3154
***C,0102,  508122710,  1795
***C,**02,  365757141,  1404
***C,0301,  310691208,  1545
***C,0302,  725158254,  2956
***C,0303,  778418358,  2426
***C,**04,  905548142,  3335
***C,**05,  712855490,  2818
***C,**06,  873263574,  2607
***C,0701,  300438330,  1524
***C,0702,  833576693,  2916
***D,   T, 1195615207,  3524
***D,**01,   56742854,   353
***D,**03,   31484540,   167
***D,**07,  834933348,  1466
***D,0101,    7453361,    73
***D,0102,   49289493,   280
***D,**02,  173161705,   872
***D,0301,    9301561,    46
***D,0302,    9356822,    73
***D,0303,   12826157,    48
***D,**04,   70413317,   410
***D,**05,    6268902,    60
***D,**06,   22610541,   196
***D,0701,  671743014,   552
***D,0702,  163190334,   914
***E,   T, 1150433153,  4857
***E,**01,  229234985,  1054
***E,**03,  468490758,  1689
***E,**07,  251588113,  1134
***E,0101,  152049173,   661
***E,0102,   77185812,   393
***E,**02,   32854054,   169
***E,0301,  288421648,  1081
***E,0302,   39089923,   110
***E,0303,  140979187,   498
***E,**04,   10174480,    92
***E,**05,  124459314,   631
***E,**06,   33631449,    88
***E,0701,  230473849,  1017
***E,0702,   21114264,   117
***F,   T, 1105716267,  4787
***F,**01,  103308679,   493
***F,**03,  144653160,   723
***F,**07,  279285175,  1250
***F,0101,   60857944,   207
***F,0102,   42450735,   286
***F,**02,  169081710,   563
***F,0301,   84443932,   345
***F,0302,    3408724,    16
***F,0303,   56800504,   362
***F,**04,  180355813,   758
***F,**05,  156415041,   717
***F,**06,   72616689,   283
***F,0701,   18249633,    66
***F,0702,  261035542,  1184
***G,   T,  848233773,  3278
***G,**01,  171433881,   417
***G,**03,  228303852,   872
***G,**07,  135079228,   852
***G,0101,  149549147,   334
***G,0102,   21884734,    83
***G,**02,   60115556,   190
***G,0301,   40248801,   151
***G,0302,   45261311,   332
***G,0303,  142793740,   389
***G,**04,  235033086,   852
***G,**05,    9353295,    69
***G,**06,    8914875,    26
***G,0701,   47496736,   337
***G,0702,   87582492,   515
***H,   T, 2162937224,  5237
***H,**01,  274414591,  1244
***H,**03,  491242478,  1374
***H,**07,   62429210,   400
***H,0101,  162258835,   585
***H,0102,  112155756,   659
***H,**02,   20977554,   112
***H,0301,   46526144,   288
***H,0302,  342441693,   718
***H,0303,  102274641,   368
***H,**04,  136896910,   553
***H,**05,  975305258,  1027
***H,**06,  201671223,   527
***H,0701,   38254452,   224
***H,0702,   24174758,   176
***I,   T, 1748230100,  3344
***I,**01,  317761768,  1191
***I,**03,  212624608,  1003
***I,**07,   22294979,   117
***I,0101,    4351538,    35
***I,0102,  313410230,  1156
***I,**02,   72677805,   493
***I,0301,     139892,     3
***I,0302,  115878210,   503
***I,0303,   96606506,   497
***I,**04,   55331731,   258
***I,**05,     574762,     1
***I,**06, 1066964447,   281
***I,0701,   13882750,    40
***I,0702,    8412229,    77
***J,   T, 1743332438,  6915
***J,**01,   77138271,   326
***J,**03,  851197147,  3552
***J,**07,  365817104,  1408
***J,0101,   50939712,   231
***J,0102,   26198559,    95
***J,**02,  102786466,   492
***J,0301,  187013405,  1121
***J,0302,  291534149,  1134
***J,0303,  372649593,  1297
***J,**04,  203799821,   788
***J,**05,  112442648,   170
***J,**06,   30150981,   179
***J,0701,  212066923,   749
***J,0702,  153750181,   659
***K,   T,  785722441,  3505
***K,**01,  205666921,   910
***K,**03,  209606028,  1072
***K,**07,   33181806,   210
***K,0101,  198525702,   863
***K,0102,    7141219,    47
***K,**02,    3217851,    39
***K,0301,   85623161,   384
***K,0302,  120140324,   675
***K,0303,    3842543,    13
***K,**04,   47767202,   356
***K,**05,   52722139,   271
***K,**06,  233560494,   647
***K,0701,   31398142,   185
***K,0702,    1783664,    25
***L,   T,  832816944,  2571
***L,**01,  550314304,   895
***L,**03,  140900129,   631
